
01-01-2025,income,5500.0,salary,Monthly Salary
02-01-2025,expense,30.0,food,Grocery Shopping
03-01-2025,expense,40.0,transportation,Uber Ride
04-01-2025,income,500.0,freelance,Website Design Project
05-01-2025,income,250.0,entertainment,Movie Tickets
06-01-2025,expense,1000.0,shopping,New Clothes
07-01-2025,expense,5500.0,food,Restaurant Dinner
08-01-2025,income,30.0,utilities,Electricity Bill
09-01-2025,income,40.0,transportation,Bus Pass
10-01-2025,expense,500.0,investment,Dividend Payment
11-01-2025,expense,250.0,healthcare,Doctor Visit
12-01-2025,income,1000.0,food,Weekly Groceries
13-01-2025,income,5500.0,entertainment,Netflix Subscription
14-01-2025,expense,30.0,transportation,Gas Station
15-01-2025,expense,40.0,shopping,Online Purchase
16-01-2025,income,500.0,food,Coffee Shop
17-01-2025,income,250.0,salary,Monthly Salary
18-01-2025,expense,1000.0,food,Grocery Shopping
19-01-2025,expense,5500.0,transportation,Uber Ride
20-01-2025,income,30.0,freelance,Website Design Project
21-01-2025,income,40.0,entertainment,Movie Tickets
22-01-2025,expense,500.0,shopping,New Clothes
23-01-2025,expense,250.0,food,Restaurant Dinner
24-01-2025,income,1000.0,utilities,Electricity Bill
25-01-2025,income,5500.0,transportation,Bus Pass
26-01-2025,expense,30.0,investment,Dividend Payment
27-01-2025,expense,40.0,healthcare,Doctor Visit
28-01-2025,income,500.0,food,Weekly Groceries
29-01-2025,income,250.0,entertainment,Netflix Subscription
30-01-2025,expense,1000.0,transportation,Gas Station
31-01-2025,expense,1009.0,shopping,Online Purchase
